ID Site;8248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nom Site;"Lac de Laffrey
(other user's custom spot)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Modele;WG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heure mise a jour;25.08. 18:24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heures;Mo25.14h;Mo25.16h;Mo25.18h;Mo25.20h;Mo25.22h;Tu26.03h;Tu26.05h;Tu26.07h;Tu26.09h;Tu26.11h;Tu26.13h;Tu26.15h;Tu26.17h;Tu26.19h;Tu26.21h;We27.03h;We27.05h;We27.07h;We27.09h;We27.11h;We27.13h;We27.15h;We27.17h;We27.19h;We27.21h;Th28.03h;Th28.05h;Th28.07h;Th28.09h;Th28.11h;Th28.13h;Th28.17h;Th28.20h;Fr29.05h;Fr29.08h;Fr29.11h;Fr29.14h;Fr29.17h;Fr29.20h;Sa30.05h;Sa30.08h;Sa30.11h;Sa30.14h;Sa30.17h;Sa30.20h;Su31.05h;Su31.08h;Su31.11h;Su31.14h;Su31.17h;Su31.20h;Mo1.05h;Mo1.08h;Mo1.11h;Mo1.14h;Mo1.17h;Mo1.20h;Tu2.05h;Tu2.08h;Tu2.11h;Tu2.14h;Tu2.17h;Tu2.20h;We3.05h;We3.08h;We3.11h;We3.14h;We3.17h;We3.20h;Th4.05h;Th4.08h;Th4.11h;Th4.14h;Th4.17h;Th4.20h;Fr5.05h;Fr5.08h;Fr5.11h;Fr5.14h;Fr5.17h;Fr5.20h;Sa6.05h;Sa6.08h;Sa6.11h;Sa6.14h;Sa6.17h;Sa6.20h;Su7.05h;Su7.08h;Su7.11h;Su7.14h;Su7.17h;Su7.20h;Mo8.05h;Mo8.08h;Mo8.11h;Mo8.14h;Mo8.17h;Mo8.20h;Tu9.05h;Tu9.08h;Tu9.11h;Tu9.14h;Tu9.17h;Tu9.20h
Vent (noeuds);3;3;3;1;3;4;4;4;3;2;3;3;4;3;2;4;3;4;4;5;5;6;5;3;3;3;2;3;2;1;1;1;2;2;2;4;6;4;3;3;3;3;3;4;2;3;4;3;4;3;2;2;2;3;4;5;5;6;5;7;7;6;4;2;2;4;4;4;2;2;2;4;4;5;3;2;3;1;2;3;2;3;3;2;4;3;2;4;4;2;2;4;2;4;4;2;5;5;3;2;3;4;5;6;4
Rafales (noeuds);5;5;7;4;4;6;6;7;6;5;7;8;8;7;6;8;10;10;11;14;15;16;17;11;9;10;8;8;7;3;6;7;5;4;4;9;14;13;11;7;7;10;8;8;5;8;8;8;11;13;8;8;7;10;12;17;17;11;10;12;12;11;5;2;3;7;8;8;3;2;2;5;5;4;3;2;2;1;3;3;2;3;3;1;3;2;3;3;3;2;4;4;2;5;6;4;8;8;3;3;3;3;5;6;5
Direction du vent (degres);272;277;286;343;135;127;128;128;139;195;224;235;262;45;85;146;146;150;136;151;163;165;161;149;141;166;195;108;95;270;291;238;285;128;178;204;216;181;164;151;129;146;104;208;149;136;121;123;121;225;209;303;29;314;319;329;336;359;359;343;359;343;334;58;38;340;328;315;335;67;75;333;325;323;348;123;139;309;299;331;39;134;143;303;318;357;44;143;141;232;314;350;51;161;171;194;167;202;165;184;132;333;332;326;339
Temperature (C);26;25;24;20;17;15;15;15;19;24;27;28;26;22;19;17;17;17;18;20;22;21;20;19;18;16;16;16;16;18;19;18;16;12;12;17;19;15;14;12;12;15;18;19;16;14;14;17;19;20;16;14;13;15;16;15;14;10;9;14;16;17;13;8;9;16;20;20;14;9;11;20;24;24;16;12;12;21;27;26;17;14;14;24;27;24;17;13;14;24;29;28;19;15;16;22;26;26;18;15;14;19;22;21;14
Nuages Haut (%);89;100;100;100;31;;;;;6;72;100;100;100;100;100;100;100;100;100;100;100;100;79;64;100;100;100;65;65;72;100;100;56;10;;23;73;45;30;;;41;;;;72;59;58;57;57;100;97;99;100;100;100;69;100;100;;24;76;;;5;52;67;23;;49;61;;;5;83;6;12;;;5;21;;13;64;95;46;8;5;5;44;42;10;100;99;98;11;;;100;100;35;;;
Nuages Moyen (%);;56;95;95;43;32;6;;;;;61;77;100;86;81;98;99;87;79;80;100;100;94;95;100;100;100;65;67;68;63;80;;16;13;71;55;79;57;57;55;57;28;34;55;73;90;82;77;58;61;72;72;71;71;64;84;22;;;;33;;;;;;;;;;;;;;10;5;5;;;11;;;8;85;23;;;;;;;;24;69;100;32;;95;100;57;;;
Nuages Bas (%);;8;;;;;;;;;;;29;43;;30;57;41;69;43;49;40;42;29;42;91;91;60;61;18;70;80;51;71;43;14;29;66;85;62;89;83;74;34;24;25;17;57;61;74;43;90;94;90;72;79;80;85;67;29;49;85;51;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;28;;23;37;100;5;;14;20
Precipitations (mm/1h);;;;;;;;;;;;;;0.2;0.2;0.2;0.2;0.6;0.6;;0.3;0.5;0.6;0.1;0.3;1.5;1.7;4.8;0.3;0.3;0.3;2.1;2.7;;;;;0.5;0.5;;0.3;;;;;;0.3;0.6;0.6;1.3;2.2;1.9;3.6;0.7;0.8;0.6;0.2;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;;;;;;;;;;;0.1;0.1;1.8;0.1;0.1;0.2;0.1
